"","PARK","WTG","startDT","endDT","OPERATOR","R_DURATION","R_WINDLESS","CODE","ACode","FEONOFF","TEXT","MEMO","WTGnumber"
"57","FOUR_MILE_RIDGE",83304,"08-04-2021 08:13:48","08-04-2021 10:58:09","0                   ","9861.2399999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"58","FOUR_MILE_RIDGE",83304,"08-05-2021 06:53:45","08-05-2021 11:06:18","0                   ","15152.6","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"59","FOUR_MILE_RIDGE",83304,"08-05-2021 23:32:15","08-05-2021 23:44:54","0                   ","758.88","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"60","FOUR_MILE_RIDGE",83304,"08-06-2021 00:09:28","08-06-2021 01:38:05","0                   ","5317.6000000000004","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"61","FOUR_MILE_RIDGE",83304,"08-06-2021 02:37:09","08-06-2021 10:00:24","0                   ","26594.919999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"62","FOUR_MILE_RIDGE",83304,"08-06-2021 10:51:30","08-06-2021 11:01:16","0                   ","586.36000000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"63","FOUR_MILE_RIDGE",83304,"08-06-2021 23:32:22","08-07-2021 03:18:10","0                   ","13548.440000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"64","FOUR_MILE_RIDGE",83304,"08-07-2021 03:51:26","08-07-2021 04:04:33","0                   ","787.15999999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"65","FOUR_MILE_RIDGE",83304,"08-07-2021 04:18:16","08-07-2021 04:47:50","0                   ","1774.1199999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"66","FOUR_MILE_RIDGE",83304,"08-07-2021 23:32:20","08-08-2021 04:45:11","0                   ","18770.84","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"67","FOUR_MILE_RIDGE",83304,"08-08-2021 07:32:32","08-08-2021 08:21:50","0                   ","2958.1999999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"68","FOUR_MILE_RIDGE",83304,"08-08-2021 10:01:24","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","","11 "
"69","FOUR_MILE_RIDGE",83304,"08-08-2021 23:32:23","08-09-2021 11:06:28","0                   ","41645.400000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"70","FOUR_MILE_RIDGE",83304,"08-10-2021 04:42:22","08-10-2021 04:58:40","0                   ","978.51999999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"71","FOUR_MILE_RIDGE",83304,"08-13-2021 23:32:16","08-14-2021 00:10:22","0                   ","2285.4400000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"72","FOUR_MILE_RIDGE",83304,"08-14-2021 02:02:31","08-14-2021 02:36:57","0                   ","2065.9200000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"73","FOUR_MILE_RIDGE",83304,"08-15-2021 04:24:42","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","","11 "
"74","FOUR_MILE_RIDGE",83304,"08-15-2021 05:35:44","08-15-2021 05:57:44","0                   ","1320.0799999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"75","FOUR_MILE_RIDGE",83304,"08-17-2021 05:45:21","08-17-2021 05:55:17","0                   ","596.15999999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"76","FOUR_MILE_RIDGE",83304,"08-17-2021 09:14:14","08-17-2021 11:05:14","0                   ","6659.7600000000002","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"77","FOUR_MILE_RIDGE",83304,"08-20-2021 23:32:19","08-21-2021 11:06:11","0                   ","41632.480000000003","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"78","FOUR_MILE_RIDGE",83304,"08-21-2021 23:32:14","08-22-2021 07:47:36","0                   ","29722.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"79","FOUR_MILE_RIDGE",83304,"08-22-2021 00:42:20","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","","11 "
"80","FOUR_MILE_RIDGE",83304,"08-22-2021 23:32:26","08-23-2021 00:45:12","0                   ","4366.4399999999996","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"81","FOUR_MILE_RIDGE",83304,"08-25-2021 01:23:54","08-25-2021 11:22:12","0                   ","35898.160000000003","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"82","FOUR_MILE_RIDGE",83304,"08-25-2021 23:05:20","08-26-2021 00:02:06","0                   ","3406.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"83","FOUR_MILE_RIDGE",83304,"08-26-2021 00:12:55","08-26-2021 01:12:46","0                   ","3591.4000000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"84","FOUR_MILE_RIDGE",83304,"08-26-2021 01:52:28","08-26-2021 02:31:15","0                   ","2326.7600000000002","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"85","FOUR_MILE_RIDGE",83304,"08-26-2021 02:21:18","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","","11 "
"86","FOUR_MILE_RIDGE",83304,"08-26-2021 03:26:10","08-26-2021 06:58:10","0                   ","12720.4","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"87","FOUR_MILE_RIDGE",83304,"08-26-2021 07:20:19","08-26-2021 07:33:05","0                   ","765.96000000000004","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"88","FOUR_MILE_RIDGE",83304,"08-26-2021 09:02:12","08-26-2021 10:38:26","0                   ","5773.2799999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"89","FOUR_MILE_RIDGE",83304,"08-26-2021 23:05:27","08-27-2021 11:22:08","0                   ","44200.32","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"90","FOUR_MILE_RIDGE",83304,"08-27-2021 23:21:04","08-28-2021 00:34:21","0                   ","4397.2399999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"91","FOUR_MILE_RIDGE",83304,"08-28-2021 00:52:55","08-28-2021 01:10:52","0                   ","1077.48","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"92","FOUR_MILE_RIDGE",83304,"08-28-2021 23:05:21","08-28-2021 23:36:45","0                   ","1883.5999999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"93","FOUR_MILE_RIDGE",83304,"08-28-2021 23:47:16","08-28-2021 23:57:11","0                   ","595.20000000000005","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"94","FOUR_MILE_RIDGE",83304,"08-29-2021 02:22:00","08-29-2021 07:06:40","0                   ","17079.52","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"95","FOUR_MILE_RIDGE",83304,"08-29-2021 08:22:10","08-29-2021 11:22:05","0                   ","10795.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"96","FOUR_MILE_RIDGE",83304,"08-29-2021 23:05:10","08-30-2021 01:16:08","0                   ","7857.96","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"97","FOUR_MILE_RIDGE",83304,"08-30-2021 02:03:46","08-30-2021 03:22:39","0                   ","4733.04","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"98","FOUR_MILE_RIDGE",83304,"08-30-2021 03:35:12","08-30-2021 04:07:10","0                   ","1917.3599999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"99","FOUR_MILE_RIDGE",83304,"08-31-2021 01:43:19","08-31-2021 01:58:54","0                   ","935.20000000000005","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"100","FOUR_MILE_RIDGE",83304,"08-31-2021 05:55:56","08-31-2021 07:01:05","0                   ","3908.7199999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"101","FOUR_MILE_RIDGE",83304,"08-31-2021 08:04:12","08-31-2021 11:22:18","0                   ","11886.280000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"102","FOUR_MILE_RIDGE",83304,"09-01-2021 00:47:13","09-01-2021 00:57:07","0                   ","594.15999999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"103","FOUR_MILE_RIDGE",83304,"09-01-2021 01:46:53","09-01-2021 01:58:26","0                   ","692.72000000000003","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"104","FOUR_MILE_RIDGE",83304,"09-01-2021 05:10:48","09-01-2021 05:21:33","0                   ","645.44000000000005","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"105","FOUR_MILE_RIDGE",83304,"09-01-2021 09:04:31","09-01-2021 09:14:52","0                   ","620.84000000000003","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"106","FOUR_MILE_RIDGE",83304,"09-03-2021 05:25:00","09-03-2021 06:14:48","0                   ","2988.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"107","FOUR_MILE_RIDGE",83304,"09-03-2021 06:31:44","09-03-2021 11:22:15","0                   ","17430.759999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"108","FOUR_MILE_RIDGE",83304,"09-04-2021 02:34:27","09-04-2021 05:05:13","0                   ","9046.2399999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"109","FOUR_MILE_RIDGE",83304,"09-04-2021 23:05:35","09-05-2021 02:30:10","0                   ","12275.48","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"110","FOUR_MILE_RIDGE",83304,"09-07-2021 23:05:32","09-08-2021 00:53:07","0                   ","6455.2399999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"111","FOUR_MILE_RIDGE",83304,"09-09-2021 06:57:38","09-09-2021 07:28:52","0                   ","1874.1199999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"112","FOUR_MILE_RIDGE",83304,"09-09-2021 07:49:01","09-09-2021 11:22:20","0                   ","12798.959999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
