"","WEA","UnixDT","DateTime","ActivePower_MAX","ActivePower_MEAN","ActivePower_MIN","NacelleWindSpeed_MAX","NacelleWindSpeed_MEAN","NacelleWindSpeed_MIN","Wind Speed Right-hand_MAX","Wind Speed Right-hand","Wind Speed Right-hand_MIN","Operating time - emergency brake routine"
"263","23WEA88868",1643744400,"01/02/2022 19:40",535.322998046875,271.812927246094,28.473087310791,7.33821249008179,4.28338289260864,2.38272428512573,6.12156820297241,3.95760488510132,2.35861539840698,0
"264","23WEA88868",1643745000,"01/02/2022 19:50",1096.90832519531,397.614990234375,21.3354434967041,9.05574035644531,4.63635158538818,1.33213639259338,7.93111085891724,4.31484127044678,1.74873542785645,0
"265","23WEA88868",1643745600,"01/02/2022 20:00",1297.6123046875,425.632537841797,-7.28250980377197,9.22263050079346,4.78393077850342,0.941460490226746,8.62434864044189,4.46143341064453,1.48242938518524,0
"266","23WEA88868",1643746200,"01/02/2022 20:10",1135.0517578125,535.814453125,87.0132141113281,8.24741840362549,4.95906019210815,2.26551675796509,7.47153377532959,4.67129182815552,2.06318044662476,0
"267","23WEA88868",1643746800,"01/02/2022 20:20",979.302795410156,364.798309326172,-23.0316696166992,9.64198303222656,4.36104440689087,1.4081130027771,8.31564807891846,4.03872585296631,1.99715948104858,0
"268","23WEA88868",1643747400,"01/02/2022 20:30",998.780578613281,467.946380615234,197.969375610352,10.2167901992798,5.00446510314941,1.4814225435257,8.85543441772461,4.70147132873535,2.89270901679993,0
"269","23WEA88868",1643748000,"01/02/2022 20:40",958.068603515625,278.717468261719,35.9319152832031,7.95797061920166,4.26909732818604,0.882303595542908,7.22621154785156,3.9387218952179,1.68378305435181,0
"270","23WEA88868",1643748600,"01/02/2022 20:50",771.005310058594,382.8486328125,116.198867797852,7.75871324539185,4.71235275268555,2.85385274887085,6.89293766021729,4.43833827972412,2.6540470123291,0
"271","23WEA88868",1643749200,"01/02/2022 21:00",638.55810546875,165.08447265625,-77.9525146484375,7.07466220855713,3.98495149612427,0.959517955780029,5.9530611038208,3.62263417243958,1.43338823318481,0
"272","23WEA88868",1643749800,"01/02/2022 21:10",778.515747070312,285.887603759766,-44.5556182861328,8.42424297332764,4.38640737533569,0.913133680820465,6.99275636672974,4.06076622009277,1.35720658302307,0
"273","23WEA88868",1643750400,"01/02/2022 21:20",523.594909667969,196.065811157227,-116.881645202637,7.25021362304688,3.96908378601074,0.769967436790466,6.0544695854187,3.60948252677917,1.1196174621582,0
"274","23WEA88868",1643751000,"01/02/2022 21:30",744.876525878906,212.531478881836,-24.3133926391602,6.8979640007019,3.93977355957031,0.915706276893616,5.84665775299072,3.63350391387939,1.21205139160156,0
"275","23WEA88868",1643751600,"01/02/2022 21:40",616.386901855469,245.87336730957,-27.9856834411621,6.98709058761597,4.08511400222778,1.24572682380676,6.86725282669067,3.75622296333313,1.84820008277893,0
"276","23WEA88868",1643752200,"01/02/2022 21:50",915.420288085938,411.775726318359,36.4400444030762,7.70909595489502,4.83555507659912,2.31988096237183,6.89293766021729,4.57120418548584,2.28271412849426,0
